gene_identifier,gene_symbol,name,mapped_ncbi_identifier,n_cells
ENSMUSG00000037492,Zmat4,"zinc finger, matrin type 4",NCBIGene:320158,1021
ENSMUSG00000051985,Igfn1,immunoglobulin-like and fibronectin type III domain containing 1,NCBIGene:226438,77
ENSMUSG00000055210,Foxd2,forkhead box D2,NCBIGene:17301,57
ENSMUSG00000020061,Mybpc1,"myosin binding protein C, slow-type",NCBIGene:109272,275
ENSMUSG00000076439,Mog,myelin oligodendrocyte glycoprotein,NCBIGene:17441,310
ENSMUSG00000003617,Cp,ceruloplasmin,NCBIGene:12870,425
ENSMUSG00000075394,Hoxc4,homeobox C4,NCBIGene:15423,159
ENSMUSG00000058056,Palld,"palladin, cytoskeletal associated protein",NCBIGene:72333,294
ENSMUSG00000070570,Slc17a7,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7",NCBIGene:72961,875
ENSMUSG00000023927,Satb1,special AT-rich sequence binding protein 1,NCBIGene:20230,1046
ENSMUSG00000064080,Fbln2,fibulin 2,NCBIGene:14115,613
ENSMUSG00000046480,Scn4b,"sodium channel, type IV, beta",NCBIGene:399548,119
ENSMUSG00000109588,Lnp1,leukemia NUP98 fusion partner 1,NCBIGene:100503609,246
ENSMUSG00000043668,Tox3,TOX high mobility group box family member 3,NCBIGene:244579,876
ENSMUSG00000021750,Fam107a,"family with sequence similarity 107, member A",NCBIGene:268709,1351
ENSMUSG00000022715,Tmem114,transmembrane protein 114,NCBIGene:74720,97
ENSMUSG00000020838,Slc6a4,"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4",NCBIGene:15567,88
ENSMUSG00000066438,Plekhd1,"pleckstrin homology domain containing, family D (with coiled-coil domains) member 1",NCBIGene:217682,378
ENSMUSG00000028871,Rspo1,R-spondin 1,NCBIGene:192199,192
ENSMUSG00000039358,Drd5,dopamine receptor D5,NCBIGene:13492,159
ENSMUSG00000084946,Dlx1as,"distal-less homeobox 1, antisense",NCBIGene:111970,882
ENSMUSG00000041540,Sox5,SRY (sex determining region Y)-box 5,NCBIGene:20678,870
ENSMUSG00000056947,Mab21l1,mab-21-like 1,NCBIGene:17116,91
ENSMUSG00000022231,Sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",NCBIGene:20356,839
ENSMUSG00000029219,Slc10a4,"solute carrier family 10 (sodium/bile acid cotransporter family), member 4",NCBIGene:231290,79
ENSMUSG00000036856,Wnt4,"wingless-type MMTV integration site family, member 4",NCBIGene:22417,116
ENSMUSG00000031636,Pdlim3,PDZ and LIM domain 3,NCBIGene:53318,161
ENSMUSG00000063506,Arhgap22,Rho GTPase activating protein 22,NCBIGene:239027,674
ENSMUSG00000028222,Calb1,calbindin 1,NCBIGene:12307,275
ENSMUSG00000049796,Crh,corticotropin releasing hormone,NCBIGene:12918,283
ENSMUSG00000020912,Krt12,keratin 12,NCBIGene:268482,89
ENSMUSG00000015053,Gata2,GATA binding protein 2,NCBIGene:14461,377
ENSMUSG00000037362,Ccn3,cellular communication network factor 3,NCBIGene:18133,211
ENSMUSG00000090000,Ier3ip1,immediate early response 3 interacting protein 1,NCBIGene:66191,774
ENSMUSG00000036885,Arhgef26,Rho guanine nucleotide exchange factor (GEF) 26,NCBIGene:622434,787
ENSMUSG00000031737,Irx5,Iroquois homeobox 5,NCBIGene:54352,129
ENSMUSG00000026452,Syt2,synaptotagmin II,NCBIGene:20980,109
ENSMUSG00000035960,Apex1,apurinic/apyrimidinic endonuclease 1,NCBIGene:11792,1077
ENSMUSG00000006800,Sulf2,sulfatase 2,NCBIGene:72043,954
ENSMUSG00000030022,Adamts9,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9",NCBIGene:101401,390
ENSMUSG00000090121,Abhd12b,abhydrolase domain containing 12B,NCBIGene:100504285,46
ENSMUSG00000069911,Insyn2b,inhibitory synaptic factor family member 2B,NCBIGene:574403,696
ENSMUSG00000025789,St8sia2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",NCBIGene:20450,177
ENSMUSG00000021614,Vcan,versican,NCBIGene:13003,430
ENSMUSG00000035686,Thrsp,thyroid hormone responsive,NCBIGene:21835,491
ENSMUSG00000022687,Boc,biregional cell adhesion molecule-related/down-regulated by oncogenes (Cdon) binding protein,NCBIGene:117606,555
ENSMUSG00000020848,Doc2b,"double C2, beta",NCBIGene:13447,154
ENSMUSG00000022053,Ebf2,early B cell factor 2,NCBIGene:13592,104
ENSMUSG00000034151,Zbbx,"zinc finger, B-box domain containing",NCBIGene:213234,193
ENSMUSG00000062252,Lhfpl5,lipoma HMGIC fusion partner-like 5,NCBIGene:328789,470
ENSMUSG00000031661,Nkd1,naked cuticle 1,NCBIGene:93960,507
ENSMUSG00000027434,Nkx2-2,NK2 homeobox 2,NCBIGene:18088,193
ENSMUSG00000041390,Mdfic,MyoD family inhibitor domain containing,NCBIGene:16543,270
ENSMUSG00000035456,Prdm8,PR domain containing 8,NCBIGene:77630,69
ENSMUSG00000047759,Hs3st3a1,heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1,NCBIGene:15478,463
ENSMUSG00000014030,Pax5,paired box 5,NCBIGene:18507,43
ENSMUSG00000045440,Insm2,insulinoma-associated 2,NCBIGene:56856,316
ENSMUSG00000028565,Nfia,nuclear factor I/A,NCBIGene:18027,703
ENSMUSG00000063415,Cyp26b1,"cytochrome P450, family 26, subfamily b, polypeptide 1",NCBIGene:232174,152
ENSMUSG00000046402,Rbp1,"retinol binding protein 1, cellular",NCBIGene:19659,147
ENSMUSG00000035273,Hpse,heparanase,NCBIGene:15442,243
ENSMUSG00000005447,Pafah1b3,"platelet-activating factor acetylhydrolase, isoform 1b, subunit 3",NCBIGene:18476,719
ENSMUSG00000011171,Vipr2,vasoactive intestinal peptide receptor 2,NCBIGene:22355,1076
ENSMUSG00000056296,Synpr,synaptoporin,NCBIGene:72003,1403
ENSMUSG00000038805,Six3,sine oculis-related homeobox 3,NCBIGene:20473,37
ENSMUSG00000046782,Ttc6,tetratricopeptide repeat domain 6,NCBIGene:70846,57
ENSMUSG00000040536,Necab1,N-terminal EF-hand calcium binding protein 1,NCBIGene:69352,1241
ENSMUSG00000073530,Pappa2,pappalysin 2,NCBIGene:23850,69
ENSMUSG00000032511,Scn5a,"sodium channel, voltage-gated, type V, alpha",NCBIGene:20271,438
ENSMUSG00000041798,Gck,glucokinase,NCBIGene:103988,106
ENSMUSG00000025213,Kazald1,Kazal-type serine peptidase inhibitor domain 1,NCBIGene:107250,192
ENSMUSG00000115965,Gm30564,"predicted gene, 30564",,63
ENSMUSG00000012520,Phox2b,paired-like homeobox 2b,NCBIGene:18935,83
ENSMUSG00000030707,Coro1a,"coronin, actin binding protein 1A",NCBIGene:12721,672
ENSMUSG00000031665,Sall1,spalt like transcription factor 1,NCBIGene:58198,1454
ENSMUSG00000057098,Ebf1,early B cell factor 1,NCBIGene:13591,350
ENSMUSG00000030994,D7Ertd443e,"DNA segment, Chr 7, ERATO Doi 443, expressed",NCBIGene:71007,238
ENSMUSG00000038718,Pbx3,pre B cell leukemia homeobox 3,NCBIGene:18516,1391
ENSMUSG00000059246,Foxb1,forkhead box B1,NCBIGene:64290,84
ENSMUSG00000032698,Lmo2,LIM domain only 2,NCBIGene:16909,871
ENSMUSG00000039059,Hrh3,histamine receptor H3,NCBIGene:99296,681
ENSMUSG00000013766,Ly6g6e,"lymphocyte antigen 6 complex, locus G6E",NCBIGene:70274,439
ENSMUSG00000048482,Bdnf,brain derived neurotrophic factor,NCBIGene:12064,388
ENSMUSG00000045731,Pnoc,prepronociceptin,NCBIGene:18155,175
ENSMUSG00000044770,Scml4,Scm polycomb group protein like 4,NCBIGene:268297,189
ENSMUSG00000020953,Coch,cochlin,NCBIGene:12810,277
ENSMUSG00000021359,Tfap2a,"transcription factor AP-2, alpha",NCBIGene:21418,117
ENSMUSG00000025938,Slco5a1,"solute carrier organic anion transporter family, member 5A1",NCBIGene:240726,1004
ENSMUSG00000031997,Trpc6,"transient receptor potential cation channel, subfamily C, member 6",NCBIGene:22068,536
ENSMUSG00000021337,Scgn,"secretagogin, EF-hand calcium binding protein",NCBIGene:214189,623
ENSMUSG00000031344,Gabrq,"gamma-aminobutyric acid (GABA) A receptor, subunit theta",NCBIGene:57249,196
ENSMUSG00000033730,Egr3,early growth response 3,NCBIGene:13655,640
ENSMUSG00000050410,Tcf19,transcription factor 19,NCBIGene:106795,263
ENSMUSG00000019929,Dcn,decorin,NCBIGene:13179,231
ENSMUSG00000046550,Spin2c,"spindlin family, member 2C",NCBIGene:278240,444
ENSMUSG00000037892,Pcdh18,protocadherin 18,NCBIGene:73173,694
ENSMUSG00000079042,Apela,apelin receptor early endogenous ligand,NCBIGene:100038489,123
ENSMUSG00000031995,St14,suppression of tumorigenicity 14 (colon carcinoma),NCBIGene:19143,64
ENSMUSG00000022508,Bcl6,B cell leukemia/lymphoma 6,NCBIGene:12053,1116
ENSMUSG00000036545,Adamts2,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2",NCBIGene:216725,172
ENSMUSG00000074934,Grem1,"gremlin 1, DAN family BMP antagonist",NCBIGene:23892,417
ENSMUSG00000026114,Cnga3,cyclic nucleotide gated channel alpha 3,NCBIGene:12790,85
ENSMUSG00000032259,Drd2,dopamine receptor D2,NCBIGene:13489,149
ENSMUSG00000003974,Grm3,"glutamate receptor, metabotropic 3",NCBIGene:108069,924
ENSMUSG00000019966,Kitl,kit ligand,NCBIGene:17311,761
ENSMUSG00000026674,Ddr2,"discoidin domain receptor family, member 2",NCBIGene:18214,558
ENSMUSG00000021848,Otx2,orthodenticle homeobox 2,NCBIGene:18424,183
ENSMUSG00000041481,Serpina3g,"serine (or cysteine) peptidase inhibitor, clade A, member 3G",NCBIGene:20715,67
ENSMUSG00000026778,Prkcq,"protein kinase C, theta",NCBIGene:18761,397
ENSMUSG00000066687,Zbtb16,zinc finger and BTB domain containing 16,NCBIGene:235320,1215
ENSMUSG00000074736,Syndig1,synapse differentiation inducing 1,NCBIGene:433485,598
ENSMUSG00000028294,Cfap206,cilia and flagella associated protein 206,NCBIGene:69329,102
ENSMUSG00000020836,Coro6,coronin 6,NCBIGene:216961,551
ENSMUSG00000021994,Wnt5a,"wingless-type MMTV integration site family, member 5A",NCBIGene:22418,594
ENSMUSG00000030043,Tacr1,tachykinin receptor 1,NCBIGene:21336,570
ENSMUSG00000018339,Gpx3,glutathione peroxidase 3,NCBIGene:14778,375
ENSMUSG00000043969,Emx2,empty spiracles homeobox 2,NCBIGene:13797,570
ENSMUSG00000029371,Cxcl5,chemokine (C-X-C motif) ligand 5,NCBIGene:20311,86
ENSMUSG00000038300,Pth2,parathyroid hormone 2,NCBIGene:114640,169
ENSMUSG00000041193,Pla2g5,"phospholipase A2, group V",NCBIGene:18784,302
ENSMUSG00000027358,Bmp2,bone morphogenetic protein 2,NCBIGene:12156,190
ENSMUSG00000046318,Ccbe1,collagen and calcium binding EGF domains 1,NCBIGene:320924,282
ENSMUSG00000063260,Syt10,synaptotagmin X,NCBIGene:54526,1142
ENSMUSG00000027009,Itga4,integrin alpha 4,NCBIGene:16401,251
ENSMUSG00000047497,Adamts12,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12",NCBIGene:239337,153
ENSMUSG00000038370,Pcp4l1,Purkinje cell protein 4-like 1,NCBIGene:66425,1674
ENSMUSG00000003573,Homer3,homer scaffolding protein 3,NCBIGene:26558,457
ENSMUSG00000047161,Chst9,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9,NCBIGene:71367,208
ENSMUSG00000049744,Arhgap15,Rho GTPase activating protein 15,NCBIGene:76117,121
ENSMUSG00000094707,A830019P07Rik,RIKEN cDNA A830019P07 gene,NCBIGene:329056,204
ENSMUSG00000058183,Mmel1,membrane metallo-endopeptidase-like 1,NCBIGene:27390,106
ENSMUSG00000032377,Plscr4,phospholipid scramblase 4,NCBIGene:235527,539
ENSMUSG00000049148,Plcxd3,"phosphatidylinositol-specific phospholipase C, X domain containing 3",NCBIGene:239318,874
ENSMUSG00000041261,Car8,carbonic anhydrase 8,NCBIGene:12319,288
ENSMUSG00000048070,Pirt,phosphoinositide-interacting regulator of transient receptor potential channels,NCBIGene:193003,128
ENSMUSG00000044288,Cnr1,cannabinoid receptor 1 (brain),NCBIGene:12801,515
ENSMUSG00000038296,Galnt18,polypeptide N-acetylgalactosaminyltransferase 18,NCBIGene:233733,1188
ENSMUSG00000047904,Sstr2,somatostatin receptor 2,NCBIGene:20606,120
ENSMUSG00000050505,Pcdh20,protocadherin 20,NCBIGene:219257,868
ENSMUSG00000063564,Col23a1,"collagen, type XXIII, alpha 1",NCBIGene:237759,629
ENSMUSG00000046743,Fat4,FAT atypical cadherin 4,NCBIGene:329628,616
ENSMUSG00000001504,Irx2,Iroquois homeobox 2,NCBIGene:16372,61
ENSMUSG00000016087,Fli1,Friend leukemia integration 1,NCBIGene:14247,537
ENSMUSG00000061535,C1qtnf7,C1q and tumor necrosis factor related protein 7,NCBIGene:109323,149
ENSMUSG00000023959,Clic5,chloride intracellular channel 5,NCBIGene:224796,341
ENSMUSG00000052560,Cpne8,copine VIII,NCBIGene:66871,963
ENSMUSG00000050288,Fzd2,frizzled class receptor 2,NCBIGene:57265,549
ENSMUSG00000099696,2900052N01Rik,RIKEN cDNA 2900052N01 gene,NCBIGene:73040,398
ENSMUSG00000028707,Dmbx1,diencephalon/mesencephalon homeobox 1,NCBIGene:140477,77
ENSMUSG00000049107,Ntf3,neurotrophin 3,NCBIGene:18205,70
ENSMUSG00000096606,Tpbgl,trophoblast glycoprotein-like,NCBIGene:100503386,432
ENSMUSG00000030500,Slc17a6,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6",NCBIGene:140919,333
ENSMUSG00000012819,Cdh23,cadherin 23 (otocadherin),NCBIGene:22295,182
ENSMUSG00000061132,Blnk,B cell linker,NCBIGene:17060,290
ENSMUSG00000045608,Dbx2,developing brain homeobox 2,NCBIGene:223843,367
ENSMUSG00000037101,Ttc29,tetratricopeptide repeat domain 29,NCBIGene:73301,99
ENSMUSG00000021508,Cxcl14,chemokine (C-X-C motif) ligand 14,NCBIGene:57266,1207
ENSMUSG00000020251,Glt8d2,glycosyltransferase 8 domain containing 2,NCBIGene:74782,128
ENSMUSG00000051980,Casr,calcium-sensing receptor,NCBIGene:12374,77
ENSMUSG00000047773,Ankfn1,ankyrin-repeat and fibronectin type III domain containing 1,NCBIGene:382543,466
ENSMUSG00000019890,Nts,neurotensin,NCBIGene:67405,115
ENSMUSG00000069581,Tspear,thrombospondin type laminin G domain and EAR repeats,NCBIGene:252974,74
ENSMUSG00000030560,Ctsc,cathepsin C,NCBIGene:13032,222
ENSMUSG00000000690,Hoxb6,homeobox B6,NCBIGene:15414,56
ENSMUSG00000031727,Pmfbp1,polyamine modulated factor 1 binding protein 1,NCBIGene:56523,51
ENSMUSG00000057777,Mab21l2,mab-21-like 2,NCBIGene:23937,77
ENSMUSG00000095654,Plscr5,"phospholipid scramblase family, member 5",NCBIGene:100504689,65
ENSMUSG00000040258,Nxph4,neurexophilin 4,NCBIGene:104080,599
ENSMUSG00000041324,Inhba,inhibin beta-A,NCBIGene:16323,840
ENSMUSG00000022372,Sla,src-like adaptor,NCBIGene:20491,264
ENSMUSG00000113186,A330076C08Rik,RIKEN cDNA A330076C08 gene,NCBIGene:100503592,153
ENSMUSG00000052374,Actn2,actinin alpha 2,NCBIGene:11472,916
ENSMUSG00000046818,Ddit4l,DNA-damage-inducible transcript 4-like,NCBIGene:73284,320
ENSMUSG00000000247,Lhx2,LIM homeobox protein 2,NCBIGene:16870,819
ENSMUSG00000025400,Tac2,tachykinin 2,NCBIGene:21334,266
ENSMUSG00000000440,Pparg,peroxisome proliferator activated receptor gamma,NCBIGene:19016,629
ENSMUSG00000057722,Lepr,leptin receptor,NCBIGene:16847,170
ENSMUSG00000063428,Ddo,D-aspartate oxidase,NCBIGene:70503,626
ENSMUSG00000037393,Nmur2,neuromedin U receptor 2,NCBIGene:216749,65
ENSMUSG00000038765,Lmx1b,LIM homeobox transcription factor 1 beta,NCBIGene:16917,77
ENSMUSG00000055435,Maf,avian musculoaponeurotic fibrosarcoma oncogene homolog,NCBIGene:17132,710
ENSMUSG00000047907,Tshz2,teashirt zinc finger family member 2,NCBIGene:228911,1062
ENSMUSG00000047139,Cd24a,CD24a antigen,NCBIGene:12484,1004
ENSMUSG00000028584,Lrrc38,leucine rich repeat containing 38,NCBIGene:242735,307
ENSMUSG00000005220,Corin,"corin, serine peptidase",NCBIGene:53419,44
ENSMUSG00000032035,Ets1,"E26 avian leukemia oncogene 1, 5' domain",NCBIGene:23871,682
ENSMUSG00000021010,Npas3,neuronal PAS domain protein 3,NCBIGene:27386,549
ENSMUSG00000042589,Cux2,cut-like homeobox 2,NCBIGene:13048,946
ENSMUSG00000035105,Egln3,egl-9 family hypoxia-inducible factor 3,NCBIGene:112407,866
ENSMUSG00000026976,Pax8,paired box 8,NCBIGene:18510,39
ENSMUSG00000035187,Nkx6-1,NK6 homeobox 1,NCBIGene:18096,138
ENSMUSG00000015217,Hmgb3,high mobility group box 3,NCBIGene:15354,1302
ENSMUSG00000015533,Itga2,integrin alpha 2,NCBIGene:16398,207
ENSMUSG00000032269,Htr3a,5-hydroxytryptamine (serotonin) receptor 3A,NCBIGene:15561,423
ENSMUSG00000027748,Trpc4,"transient receptor potential cation channel, subfamily C, member 4",NCBIGene:22066,959
ENSMUSG00000097636,Mirt1,myocardial infarction associated transcript 1,,70
ENSMUSG00000021379,Id4,inhibitor of DNA binding 4,NCBIGene:15904,734
ENSMUSG00000032128,Robo3,roundabout guidance receptor 3,NCBIGene:19649,73
ENSMUSG00000062151,Unc13c,unc-13 homolog C,NCBIGene:208898,771
ENSMUSG00000020053,Igf1,insulin-like growth factor 1,NCBIGene:16000,521
ENSMUSG00000038700,Hoxb5,homeobox B5,NCBIGene:15413,62
ENSMUSG00000027996,Sfrp2,secreted frizzled-related protein 2,NCBIGene:20319,299
ENSMUSG00000031980,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",NCBIGene:11606,356
ENSMUSG00000053004,Hrh1,histamine receptor H1,NCBIGene:15465,149
ENSMUSG00000024064,Galnt14,polypeptide N-acetylgalactosaminyltransferase 14,NCBIGene:71685,509
ENSMUSG00000035580,Kcnh8,"potassium voltage-gated channel, subfamily H (eag-related), member 8",NCBIGene:211468,332
ENSMUSG00000010136,Pifo,primary cilia formation,NCBIGene:100503311,103
ENSMUSG00000024376,Epb41l4a,erythrocyte membrane protein band 4.1 like 4a,NCBIGene:13824,730
ENSMUSG00000022324,Matn2,matrilin 2,NCBIGene:17181,796
ENSMUSG00000015619,Gata3,GATA binding protein 3,NCBIGene:14462,87
ENSMUSG00000070047,Fat1,FAT atypical cadherin 1,NCBIGene:14107,1449
ENSMUSG00000002266,Zim1,"zinc finger, imprinted 1",NCBIGene:22776,237
ENSMUSG00000036111,Lmo1,LIM domain only 1,NCBIGene:109594,444
ENSMUSG00000033063,Cntnap3,contactin associated protein-like 3,NCBIGene:238680,693
